"Statistic","Year","County","UNIT","VALUE"
"All Births","1985","State","Number","62388"
"All Births","1985","Dublin City","Number","6645"
"All Births","1985","Fingal","Number",""
"All Births","1985","Dun Laoghaire Rathdown","Number","878"
"All Births","1985","South Dublin","Number","10123"
"All Births","1985","Wicklow","Number","1829"
"All Births","1985","Carlow","Number","832"
"All Births","1985","Kildare","Number","2466"
"All Births","1985","Kilkenny","Number","1286"
"All Births","1985","Laois","Number","941"
"All Births","1985","Longford","Number","571"
"All Births","1985","Louth","Number","1541"
"All Births","1985","Meath","Number","1990"
"All Births","1985","Offaly","Number","1062"
"All Births","1985","Westmeath","Number","1206"
"All Births","1985","Wexford","Number","1897"
"All Births","1985","Waterford County","Number","871"
"All Births","1985","Waterford City","Number","638"
"All Births","1985","Clare","Number","1620"
"All Births","1985","Cork City","Number","2038"
"All Births","1985","Cork County","Number","4980"
"All Births","1985","Kerry","Number","2056"
"All Births","1985","Limerick City","Number","980"
"All Births","1985","Limerick County","Number","1991"
"All Births","1985","North Tipperary","Number","1046"
"All Births","1985","South Tipperary","Number","1365"
"All Births","1985","Tipperary","Number",""
"All Births","1985","Galway City","Number","3079"
"All Births","1985","Leitrim","Number","431"
"All Births","1985","Mayo","Number","2020"
"All Births","1985","Roscommon","Number","841"
"All Births","1985","Sligo","Number","946"
"All Births","1985","Galway County","Number",""
"All Births","1985","Cavan","Number","954"
"All Births","1985","Donegal","Number","2342"
"All Births","1985","Monaghan","Number","923"
"All Births","1985","Outside the State","Number",""
"All Births","1986","State","Number","61620"
"All Births","1986","Dublin City","Number","7320"
"All Births","1986","Fingal","Number","3111"
"All Births","1986","Dun Laoghaire Rathdown","Number","2338"
"All Births","1986","South Dublin","Number","4474"
"All Births","1986","Wicklow","Number","1801"
"All Births","1986","Carlow","Number","864"
"All Births","1986","Kildare","Number","2493"
"All Births","1986","Kilkenny","Number","1259"
"All Births","1986","Laois","Number","937"
"All Births","1986","Longford","Number","538"
"All Births","1986","Louth","Number","1593"
"All Births","1986","Meath","Number","1936"
"All Births","1986","Offaly","Number","1017"
"All Births","1986","Westmeath","Number","1188"
"All Births","1986","Wexford","Number","1850"
"All Births","1986","Waterford County","Number","906"
"All Births","1986","Waterford City","Number","642"
"All Births","1986","Clare","Number","1603"
"All Births","1986","Cork City","Number","2199"
"All Births","1986","Cork County","Number","4902"
"All Births","1986","Kerry","Number","1943"
"All Births","1986","Limerick City","Number","832"
"All Births","1986","Limerick County","Number","1969"
"All Births","1986","North Tipperary","Number","1079"
"All Births","1986","South Tipperary","Number","1291"
"All Births","1986","Tipperary","Number",""
"All Births","1986","Galway City","Number","670"
"All Births","1986","Leitrim","Number","429"
"All Births","1986","Mayo","Number","1939"
"All Births","1986","Roscommon","Number","832"
"All Births","1986","Sligo","Number","980"
"All Births","1986","Galway County","Number","2445"
"All Births","1986","Cavan","Number","963"
"All Births","1986","Donegal","Number","2358"
"All Births","1986","Monaghan","Number","919"
"All Births","1986","Outside the State","Number",""
"All Births","1987","State","Number","58433"
"All Births","1987","Dublin City","Number","6890"
"All Births","1987","Fingal","Number","2990"
"All Births","1987","Dun Laoghaire Rathdown","Number","2426"
"All Births","1987","South Dublin","Number","4239"
"All Births","1987","Wicklow","Number","1766"
"All Births","1987","Carlow","Number","748"
"All Births","1987","Kildare","Number","2314"
"All Births","1987","Kilkenny","Number","1264"
"All Births","1987","Laois","Number","846"
"All Births","1987","Longford","Number","530"
"All Births","1987","Louth","Number","1476"
"All Births","1987","Meath","Number","1788"
"All Births","1987","Offaly","Number","1018"
"All Births","1987","Westmeath","Number","1101"
"All Births","1987","Wexford","Number","1849"
"All Births","1987","Waterford County","Number","758"
"All Births","1987","Waterford City","Number","605"
"All Births","1987","Clare","Number","1470"
"All Births","1987","Cork City","Number","1816"
"All Births","1987","Cork County","Number","4843"
"All Births","1987","Kerry","Number","1806"
"All Births","1987","Limerick City","Number","824"
"All Births","1987","Limerick County","Number","1847"
"All Births","1987","North Tipperary","Number","994"
"All Births","1987","South Tipperary","Number","1292"
"All Births","1987","Tipperary","Number",""
"All Births","1987","Galway City","Number","783"
"All Births","1987","Leitrim","Number","410"
"All Births","1987","Mayo","Number","1832"
"All Births","1987","Roscommon","Number","810"
"All Births","1987","Sligo","Number","858"
"All Births","1987","Galway County","Number","2246"
"All Births","1987","Cavan","Number","877"
"All Births","1987","Donegal","Number","2269"
"All Births","1987","Monaghan","Number","848"
"All Births","1987","Outside the State","Number",""
"All Births","1988","State","Number","54600"
"All Births","1988","Dublin City","Number","6717"
"All Births","1988","Fingal","Number","2886"
"All Births","1988","Dun Laoghaire Rathdown","Number","2429"
"All Births","1988","South Dublin","Number","3897"
"All Births","1988","Wicklow","Number","1619"
"All Births","1988","Carlow","Number","779"
"All Births","1988","Kildare","Number","2134"
"All Births","1988","Kilkenny","Number","1160"
"All Births","1988","Laois","Number","791"
"All Births","1988","Longford","Number","484"
"All Births","1988","Louth","Number","1336"
"All Births","1988","Meath","Number","1642"
"All Births","1988","Offaly","Number","868"
"All Births","1988","Westmeath","Number","1050"
"All Births","1988","Wexford","Number","1686"
"All Births","1988","Waterford County","Number","788"
"All Births","1988","Waterford City","Number","560"
"All Births","1988","Clare","Number","1308"
"All Births","1988","Cork City","Number","1758"
"All Births","1988","Cork County","Number","4380"
"All Births","1988","Kerry","Number","1700"
"All Births","1988","Limerick City","Number","784"
"All Births","1988","Limerick County","Number","1742"
"All Births","1988","North Tipperary","Number","887"
"All Births","1988","South Tipperary","Number","1103"
"All Births","1988","Tipperary","Number",""
"All Births","1988","Galway City","Number","505"
"All Births","1988","Leitrim","Number","353"
"All Births","1988","Mayo","Number","1705"
"All Births","1988","Roscommon","Number","708"
"All Births","1988","Sligo","Number","816"
"All Births","1988","Galway County","Number","2323"
"All Births","1988","Cavan","Number","848"
"All Births","1988","Donegal","Number","2100"
"All Births","1988","Monaghan","Number","754"
"All Births","1988","Outside the State","Number",""
"All Births","1989","State","Number","52018"
"All Births","1989","Dublin City","Number","6462"
"All Births","1989","Fingal","Number","2712"
"All Births","1989","Dun Laoghaire Rathdown","Number","2383"
"All Births","1989","South Dublin","Number","3730"
"All Births","1989","Wicklow","Number","1588"
"All Births","1989","Carlow","Number","679"
"All Births","1989","Kildare","Number","1924"
"All Births","1989","Kilkenny","Number","1114"
"All Births","1989","Laois","Number","798"
"All Births","1989","Longford","Number","445"
"All Births","1989","Louth","Number","1256"
"All Births","1989","Meath","Number","1574"
"All Births","1989","Offaly","Number","817"
"All Births","1989","Westmeath","Number","997"
"All Births","1989","Wexford","Number","1597"
"All Births","1989","Waterford County","Number","752"
"All Births","1989","Waterford City","Number","607"
"All Births","1989","Clare","Number","1328"
"All Births","1989","Cork City","Number","1790"
"All Births","1989","Cork County","Number","4195"
"All Births","1989","Kerry","Number","1640"
"All Births","1989","Limerick City","Number","740"
"All Births","1989","Limerick County","Number","1637"
"All Births","1989","North Tipperary","Number","822"
"All Births","1989","South Tipperary","Number","1106"
"All Births","1989","Tipperary","Number",""
"All Births","1989","Galway City","Number","523"
"All Births","1989","Leitrim","Number","355"
"All Births","1989","Mayo","Number","1529"
"All Births","1989","Roscommon","Number","635"
"All Births","1989","Sligo","Number","774"
"All Births","1989","Galway County","Number","2081"
"All Births","1989","Cavan","Number","799"
"All Births","1989","Donegal","Number","1935"
"All Births","1989","Monaghan","Number","694"
"All Births","1989","Outside the State","Number",""
"All Births","1990","State","Number","53044"
