"Statistic","Year","County","UNIT","VALUE"
"New House Registrations","1978","All Counties","Number","3781"
"New House Registrations","1978","Carlow","Number","1"
"New House Registrations","1978","Dublin","Number","1761"
"New House Registrations","1978","Kildare","Number","154"
"New House Registrations","1978","Kilkenny","Number","82"
"New House Registrations","1978","Laois","Number","13"
"New House Registrations","1978","Longford","Number","36"
"New House Registrations","1978","Louth","Number","84"
"New House Registrations","1978","Meath","Number","84"
"New House Registrations","1978","Offaly","Number","6"
"New House Registrations","1978","Westmeath","Number","177"
"New House Registrations","1978","Wexford","Number","43"
"New House Registrations","1978","Wicklow","Number","228"
"New House Registrations","1978","Clare","Number","65"
"New House Registrations","1978","Cork","Number","367"
"New House Registrations","1978","Kerry","Number","32"
"New House Registrations","1978","Limerick","Number","154"
"New House Registrations","1978","Tipperary","Number","29"
"New House Registrations","1978","Waterford","Number","189"
"New House Registrations","1978","Galway","Number","173"
"New House Registrations","1978","Leitrim","Number","6"
"New House Registrations","1978","Mayo","Number","37"
"New House Registrations","1978","Roscommon","Number","20"
"New House Registrations","1978","Sligo","Number","3"
"New House Registrations","1978","Cavan","Number","10"
"New House Registrations","1978","Donegal","Number","27"
"New House Registrations","1978","Monaghan","Number","0"
"New House Registrations","1979","All Counties","Number","5565"
"New House Registrations","1979","Carlow","Number","5"
"New House Registrations","1979","Dublin","Number","2479"
"New House Registrations","1979","Kildare","Number","332"
"New House Registrations","1979","Kilkenny","Number","83"
"New House Registrations","1979","Laois","Number","26"
"New House Registrations","1979","Longford","Number","10"
"New House Registrations","1979","Louth","Number","276"
"New House Registrations","1979","Meath","Number","283"
"New House Registrations","1979","Offaly","Number","6"
"New House Registrations","1979","Westmeath","Number","213"
"New House Registrations","1979","Wexford","Number","39"
"New House Registrations","1979","Wicklow","Number","194"
"New House Registrations","1979","Clare","Number","18"
"New House Registrations","1979","Cork","Number","655"
"New House Registrations","1979","Kerry","Number","45"
"New House Registrations","1979","Limerick","Number","134"
"New House Registrations","1979","Tipperary","Number","5"
"New House Registrations","1979","Waterford","Number","156"
"New House Registrations","1979","Galway","Number","433"
"New House Registrations","1979","Leitrim","Number","3"
"New House Registrations","1979","Mayo","Number","42"
"New House Registrations","1979","Roscommon","Number","26"
"New House Registrations","1979","Sligo","Number","7"
"New House Registrations","1979","Cavan","Number","15"
"New House Registrations","1979","Donegal","Number","38"
"New House Registrations","1979","Monaghan","Number","42"
"New House Registrations","1980","All Counties","Number","9609"
"New House Registrations","1980","Carlow","Number","44"
"New House Registrations","1980","Dublin","Number","4678"
"New House Registrations","1980","Kildare","Number","668"
"New House Registrations","1980","Kilkenny","Number","83"
"New House Registrations","1980","Laois","Number","43"
"New House Registrations","1980","Longford","Number","22"
"New House Registrations","1980","Louth","Number","369"
"New House Registrations","1980","Meath","Number","373"
"New House Registrations","1980","Offaly","Number","32"
"New House Registrations","1980","Westmeath","Number","121"
"New House Registrations","1980","Wexford","Number","62"
"New House Registrations","1980","Wicklow","Number","257"
"New House Registrations","1980","Clare","Number","186"
"New House Registrations","1980","Cork","Number","1402"
"New House Registrations","1980","Kerry","Number","81"
"New House Registrations","1980","Limerick","Number","351"
"New House Registrations","1980","Tipperary","Number","102"
"New House Registrations","1980","Waterford","Number","190"
"New House Registrations","1980","Galway","Number","268"
"New House Registrations","1980","Leitrim","Number","5"
"New House Registrations","1980","Mayo","Number","75"
"New House Registrations","1980","Roscommon","Number","52"
